                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4549,                 4.0933,                 1.6822,                0.01855,                0.35897,                0.02163,                0.00925,                 1.3258,                  4.633,                 1.4007,               2.94e-05,               2.94e-05,               2.94e-05
                      2,                 1.2044,                 4.0231,                 1.4437,                0.02234,                0.55495,                0.08765,                0.05897,                  1.034,                 4.4695,                 1.1744,              6.404e-05,              6.404e-05,              6.404e-05
                      3,                 1.0927,                 3.8997,                 1.3764,                0.01899,                0.73077,                0.20948,                0.16744,                0.87602,                 4.4077,                  1.062,             9.7981e-05,             9.7981e-05,             9.7981e-05
                      4,                0.98546,                 3.7112,                 1.2993,                0.01225,                0.77733,                0.30648,                0.25931,                0.77916,                 4.3589,                0.98925,             0.00013122,             0.00013122,             0.00013122
                      5,                 0.9585,                 3.5387,                 1.3507,                0.00805,                0.79892,                0.31906,                0.27058,                0.71989,                 4.3275,                0.95617,             0.00016377,             0.00016377,             0.00016377
                      6,                0.85938,                 3.2707,                 1.2889,                0.00635,                0.82051,                0.29515,                0.25424,                0.69324,                 4.2914,                0.95557,             0.00019561,             0.00019561,             0.00019561
                      7,                0.87703,                 2.8538,                 1.2326,                0.00583,                0.84615,                0.33216,                0.29232,                0.70201,                 4.1717,                0.98847,             0.00022676,             0.00022676,             0.00022676
                      8,                0.82539,                 3.2073,                 1.2595,                0.00581,                 0.8502,                0.28295,                0.25142,                0.68715,                 3.9528,                0.98324,             0.00025721,             0.00025721,             0.00025721
                      9,                 0.8137,                 2.8171,                 1.2313,                0.84615,                0.04648,                0.30041,                0.26442,                0.66941,                 3.7916,                0.95873,             0.00028696,             0.00028696,             0.00028696
                     10,                0.79419,                 2.8285,                 1.2103,                0.87667,                0.08121,                0.33121,                0.29954,                0.64198,                 3.7328,                0.93771,             0.00031601,             0.00031601,             0.00031601
                     11,                0.76292,                 2.4719,                 1.1942,                0.72958,                0.12571,                0.36801,                0.32894,                0.62834,                 3.6504,                0.92784,             0.00034436,             0.00034436,             0.00034436
                     12,                0.82234,                 2.4276,                 1.1437,                0.63039,                0.27294,                 0.3607,                0.29753,                0.69749,                 3.4613,                0.95961,             0.00037202,             0.00037202,             0.00037202
                     13,                0.77423,                 2.5221,                 1.2019,                0.51175,                0.39779,                0.38148,                0.30472,                0.70889,                  3.246,                0.96693,             0.00039897,             0.00039897,             0.00039897
                     14,                0.73777,                 2.0471,                 1.0577,                0.55241,                0.41196,                0.39198,                0.31165,                0.75635,                 3.0482,                  1.011,             0.00042523,             0.00042523,             0.00042523
                     15,                0.71323,                 2.0232,                 1.1101,                0.41385,                0.45914,                0.38331,                0.30536,                0.80152,                 2.8399,                 1.0673,             0.00045079,             0.00045079,             0.00045079
                     16,                0.68306,                 2.2509,                   1.12,                0.36981,                0.38269,                0.37517,                0.30223,                0.78068,                 2.7009,                 1.0859,             0.00047565,             0.00047565,             0.00047565
                     17,                0.72635,                 2.1875,                 1.2102,                0.32282,                0.46736,                0.37361,                0.29911,                0.80169,                 2.7429,                 1.1131,             0.00049486,             0.00049486,             0.00049486
                     18,                0.68247,                 1.9126,                 1.0878,                0.36552,                0.57132,                0.47376,                0.36255,                0.80788,                 2.6757,                 1.0956,             0.00049486,             0.00049486,             0.00049486
                     19,                0.72003,                 1.9221,                 1.1358,                0.36077,                0.69977,                0.56695,                0.41106,                0.83822,                 2.7106,                 1.1337,             0.00048904,             0.00048904,             0.00048904
